COVID-19 Vaccinations in the United States
Date generated: Mon Sep 06 2021 18:03:49 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Mississippi,3594175,120766,157808,2572157,86426,2434728,106900,1419781,47.7,1336619,58.7,1177933,39.6,1122851,49.3,1926195,1503380,164600,0,70805,1076220,1423810,1322,479191,628343,70160,239,478969,573572,70081,229,1108226,47.7,1336619,58.7,37.2,1053223,46.2,1419781,403019,82.8,369109,75.8,189608,163037,16360,104,774435,159122,738489,1419579,56.3,1177870,46.7,479181,628300,70150,239,2571916,102002,142545
Montana,1268895,118724,151025,1031434,96506,978319,116440,562607,52.6,532463,63.4,495375,46.3,472991,56.3,645615,553680,69600,0,44305,449664,536698,767,207650,244233,43251,241,207561,221981,43210,239,452442,52.6,532463,63.4,42.3,430095,51.2,562607,176480,85.5,164006,79.4,78956,76076,8838,136,336051,162786,614665,562480,61.3,495338,54,207633,244218,43246,241,1031266,112388,138284
North Carolina,13566510,129352,165700,10611359,101175,9960947,121662,5917739,56.4,5547107,67.8,4917255,46.9,4643916,56.7,7438110,5481900,646500,0,393310,4063554,6154030,465,1803305,2727204,386664,82,1800582,2457879,385375,80,4531043,56.4,5547107,67.8,43.2,4258988,52,5917739,1537025,87.8,1377800,78.7,662478,670598,44685,39,2935534,167640,774745,5908947,65.8,4912010,54.7,1803212,2722074,386642,82,10597304,117938,150982
North Dakota,865350,113554,148713,705488,92576,669961,115135,371650,48.8,352570,60.6,320607,42.1,306515,52.7,480450,348400,36500,0,31121,289117,385249,1,128387,164007,28212,1,128195,150235,28084,1,292434,48.8,352570,60.6,38.4,278469,47.9,371650,102454,85.5,90982,75.9,44834,42429,3719,0,199040,166081,722058,371036,58.2,320260,50.3,128382,163668,28209,1,704447,110546,135795
Nebraska,2402700,124209,164756,2080161,107535,1939793,133014,1117695,57.8,1040717,71.4,1014082,52.4,951066,65.2,1357260,937340,108100,0,76489,791653,1207746,4273,373081,563151,76664,1186,372941,500388,76595,1142,937861,57.8,1040717,71.4,48.5,874910,60,1117695,283385,90.7,271800,87,132711,132039,6291,759,566568,181326,768967,1117430,69.1,1014005,62.7,373062,563112,76647,1184,2079822,128590,148552
New Hampshire,2048340,150645,185461,1700039,125029,1590441,144002,919871,67.7,864779,78.3,817432,60.1,773070,70,1114560,817080,116700,0,78013,680261,941738,27,319549,431073,66767,43,319300,387016,66713,41,750826,67.7,864779,78.3,55.2,706517,64,919871,245366,96.7,222777,87.8,93908,114773,14075,21,447716,176361,806865,919369,76.7,817224,68.2,319448,430991,66742,43,1699359,141782,170899
New Jersey,13236105,149018,190623,11103350,125007,10326753,148723,6257106,70.4,5822348,83.9,5503733,62,5154536,74.2,7318485,5311320,606300,0,425029,4349227,6329064,30,2046857,3025579,431162,135,2046315,2677203,430895,123,5073755,70.4,5822348,83.9,57.1,4724817,68,6257106,1378036,93.4,1259358,85.3,589146,586364,83810,38,2533140,171676,897038,6256302,82.1,5503563,72.2,2046825,3025501,431102,135,11102522,145733,173739
New Mexico,2765525,131891,170607,2673704,127512,2477155,152817,1480470,70.6,1366757,84.3,1271565,60.6,1181541,72.9,1436205,1190820,138500,0,95901,1140058,1432566,5179,512100,663398,94541,1526,511730,573909,94394,1508,1177568,70.6,1366757,84.3,56.2,1087685,67.1,1480470,368473,97.6,333324,88.3,154454,158618,19436,816,688124,182233,732384,1480176,82.8,1271482,71.1,512082,663345,94529,1526,2673376,149565,154721
Nevada,3784610,122871,158517,3236303,105069,3042131,127418,1800664,58.5,1687634,70.7,1488110,48.3,1410075,59.1,2189970,1410340,184300,0,146216,1182387,1907678,22,533980,810297,143802,31,533887,732396,143762,30,1344521,58.5,1687634,70.7,43.7,1266526,53,1800664,427637,86.2,378763,76.4,178039,177328,23378,18,807068,162725,763069,1800573,68.7,1488073,56.8,533976,810266,143800,31,3236256,123436,144351
New York State,27866755,143248,180657,24620269,126559,23143447,150036,13236154,68,12420085,80.5,11812282,60.7,11149599,72.3,15521175,11091680,1253900,0,1077785,9406776,14127514,8194,4349435,6436367,1024389,2091,4347771,5776124,1023712,1992,10790873,68,12420085,80.5,55.5,10128842,65.7,13236154,2960176,89.8,2726902,82.7,1298308,1259114,168572,908,5654191,171539,845434,13234533,78.9,11811612,70.4,4349271,6436001,1024263,2077,24618042,146770,166138
Ohio,14191465,121408,155760,11699214,100087,11068623,121485,6167187,52.8,5827595,64,5687386,48.7,5403367,59.3,7664325,5871640,655500,0,486592,4634661,6561059,16902,2157045,3055012,470463,4866,2156616,2771736,470239,4776,5219434,52.8,5827595,64,44.7,4935626,54.2,6167187,1764775,86.2,1688510,82.5,767665,833931,84465,2449,3474900,169812,693512,6166864,61.7,5687302,56.9,2157033,3054959,470444,4866,11698889,116981,141905
Oklahoma,4777110,120726,158986,3889624,98298,3664831,121969,2136791,54,2007173,66.8,1761027,44.5,1668070,55.5,2477490,2077320,222300,0,115738,1650281,2123402,203,720735,925958,114248,86,720513,833307,114173,77,1647223,54,2007173,66.8,41.6,1554340,51.7,2136791,567466,89.3,498114,78.4,255081,224379,18630,24,1074182,169127,752144,2136577,64.3,1760969,53,720720,925928,114235,86,3889380,116966,143663
Oregon,6334305,150183,189017,5015595,118917,4690053,139952,2720850,64.5,2543192,75.9,2465908,58.5,2318532,69.2,3440505,2583600,310200,0,206133,1921006,2884984,3472,902779,1359156,203201,772,900004,1215385,202413,730,2263740,64.5,2543192,75.9,53.7,2117145,63.2,2720850,687897,89.8,650751,84.9,294995,306977,48429,350,1299284,169602,826846,2712792,74.4,2460180,67.4,902775,1353439,203198,768,5001587,137114,173649
Pennsylvania,18178055,141994,178788,15536659,121361,14640909,143999,8945765,69.9,8425916,82.9,7115870,55.6,6747606,66.4,9482355,7628000,1067700,0,624047,6264315,8647611,686,2726943,3761984,626509,434,2724798,3396318,626083,407,6490567,69.9,8425916,82.9,50.7,6122714,60.2,8945765,2552747,99.9,2064425,86.3,974328,1005957,83932,208,4589166,191746,759520,8942252,80.7,7114354,64.2,2726804,3760664,626452,434,15531678,140158,164039
Puerto Rico,4396370,137658,167739,4304242,134773,3980623,151876,2402106,75.2,2216834,84.6,2039755,63.9,1898348,72.4,2222250,1984120,190000,0,124112,1775173,2404589,368,816883,1099093,123731,48,816522,958206,123573,47,1916196,75.2,2216834,84.6,60,1774947,67.7,2402106,589095,99.9,522384,96.2,263174,237801,21400,9,1090595,200873,809752,2400920,84.3,2039408,71.6,816830,1098846,123684,48,4302757,151064,154351
Rhode Island,1648185,155583,192800,1404114,132543,1313603,153662,765296,72.2,715108,83.7,691541,65.3,649651,76,914265,672320,61600,0,50903,540127,812479,605,255426,384825,51154,136,255355,343028,51134,134,640628,72.2,715108,83.7,60.5,598758,70,765296,184147,98.5,174396,93.2,79392,88835,6125,44,356801,190756,881166,765173,82.5,691497,74.6,255422,384787,51153,135,1404008,151377,177704
Republic of Palau,29820,166527,213809,29165,162869,26909,192938,16890,94.3,15594,99.9,14787,82.6,13823,99.1,5220,20800,3800,0,2268,23828,3069,0,11444,1071,2272,0,11444,107,2272,0,12516,94.3,15594,99.9,69.9,11552,82.8,16890,1768,58.3,1695,55.9,1456,12,227,0,3189,105109,982861,16890,99.9,14787,96.7,11444,1071,2272,0,29165,190721,195004
South Carolina,6434605,124975,159370,4885894,94895,4638673,114889,2692396,52.3,2546610,63.1,2261484,43.9,2158255,53.5,3363465,2757840,313300,0,173339,1936546,2774911,1098,845243,1245607,170370,264,843351,1144848,169794,262,2091753,52.3,2546610,63.1,40.6,1989099,49.3,2692396,831557,88.7,739906,79,315338,396631,27769,168,1573739,167951,686707,2687462,60.8,2258628,51.1,845157,1242881,170326,264,4878029,110363,145580
South Dakota,1104305,124828,165425,912429,103139,857980,128525,502941,56.9,470902,70.5,439056,49.6,417042,62.5,563265,481640,59400,0,30980,379123,502250,76,179302,228727,31008,19,179250,206786,30987,19,408113,56.9,470902,70.5,46.1,386120,57.8,502941,142860,94.1,133184,87.7,68314,60619,4239,12,269126,177207,727134,502894,68.1,439044,59.5,179300,228719,31006,19,912385,123612,149614
Tennessee,8061540,118046,151558,6416526,93958,6115018,114963,3430113,50.2,3255644,61.2,2894046,42.4,2772609,52.1,4480560,3213180,367800,0,200134,2504014,3686606,25772,1088007,1605710,193406,6923,1087592,1484939,193208,6870,2702271,50.2,3255644,61.2,39.6,2581027,48.5,3430113,960218,84,870307,76.1,434452,399933,32091,3831,1915799,167554,705054,3429428,58.8,2893889,49.6,1087990,1605612,193364,6923,6415726,109942,138145
Texas,39269885,135433,181838,30554911,105377,28201693,130587,16712108,57.6,15356757,71.1,13936011,48.1,12842116,59.5,22059825,15315460,1894600,0,1204091,11833509,17516475,836,5206834,7557864,1170549,764,4798128,6964616,1078668,704,12772189,57.6,15356757,71.1,44,11894740,55.1,16712108,3292286,88.2,2941892,78.8,1099163,1595465,247103,161,6350074,170050,1051620,16707095,69.3,13933224,57.8,5205793,7556352,1170315,764,30548902,126753,162938
